## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 118.885, -98.8369, 724.167, 741.083, -97.9423, 88.6868, 163.61, 212.17
 -106.965, 123.331, -271.803, 317.432, 90.7681, -110.332, -585.569, 604.491
 147.635, -92.0084, -60.9044, 186.091, -112.216, 72.1127, 94.0178, 165.098
 111.866, 147.62, 190.87, 267.921, -100.698, -131.325, 47.0082, 172.532
 -9.88483, 34.9554, -140.093, 145.025, 6.98539, -26.0489, -168.574, 170.895
 50.1306, -57.7991, -664.063, 668.682, -38.63, 39.1411, 3.49769, 56.8383
 65.9983, -146.236, 416.085, 447.942, -71.2257, 140.765, 54.1017, 168.373
 -3.31297, 83.1441, -79.7733, 115.481, -23.3162, -46.4424, 240.129, 245.852
 57.3496, 163.45, 513.138, 542.114, -41.5766, -164.881, 169.142, 240.123
 25.8843, 93.4168, 159.131, 186.979, -42.6019, -48.2136, -143.425, 157.753
 -21.0557, -102.824, 842.068, 848.788, 16.1055, 66.635, 15.4692, 71.19
 -191.705, -24.5557, -215.558, 294.353, 156.311, 13.4107, -92.9853, 183.695
 208.598, 43.4392, -2307.01, 2317.02, -186.883, -20.6238, -1254.48, 1268.68
 67.4156, -172.466, 1280.37, 1294.04, -47.5828, 170.499, 574.898, 602.808
 38.2653, 177.489, 223.176, 289.232, -4.34322, -148.09, 60.1482, 161.644
 -174.451, 22.3469, 204.664, 270.66, 162.828, -1.07243, 48.9876, 172.879
 162.489, -16.3744, -518.718, 544.544, -142.878, 28.279, -1093.53, 1103.3
 -36.1769, -168.22, -3099.43, 3104.33, 30.4279, 103.976, -382.735, 397.902
 -132.49, 53.0255, 266.555, 303.008, 133.222, -50.1087, -41.9615, 151.558
 193.144, 19.1135, 272.854, 335.424, -186.396, -51.2153, 213.11, 288.414
 98.1588, 77.9066, -167.308, 211.115, -80.9645, -40.2907, 25.8656, 94.4088
 -58.126, -178.662, 628.531, 656.302, 14.3857, 170.119, 759.749, 779.042
 1.71231, 96.021, 1409.67, 1413.07, -23.4716, -92.5032, 207.412, 228.892
 -76.7832, 155.453, -351.35, 392.962, 91.1271, -129.111, -67.0043, 172.705
 -2.00594, -161.335, 384.497, 417.976, -28.5309, -23.3667, 54.2687, 65.9068
 157.553, 117.557, 52.3962, 204.202, -151.318, -109.838, -14.5723, 191.007
 -109.35, -99.1303, -728.393, 743.678, 90.323, 108.866, -2378.12, 2382.42
 -98.8709, 241.416, 254.713, 365.667, 126.278, -225.526, 403.808, 485.487
 204.449, 37.2843, 13.1116, 210.844, -132.003, -8.66183, -39.029, 139.54
 164.554, 45.101, 1264.88, 1276.54, -125.287, -60.785, 554.827, 572.715
 -49.5452, 68.1945, -2186.53, 2188.17, 33.3659, -63.1732, -74.4291, 104.426
 -107.032, 44.3915, 77.7643, 140.705, 88.3974, -49.0123, 453.025, 464.852
 68.9913, -170.323, -2114.82, 2123.02, -42.921, 158.257, -767.498, 785.155
 -176.253, -2.88897, -132.509, 222.368, 164.783, 59.4121, -52.4598, 182.907
 85.2522, 105.275, -93.3924, 166.436, -87.2905, -90.469, 226.807, 259.485
 142.797, -81.0282, 11.4055, 166.05, -95.0089, 51.3119, 79.6001, 134.655
 -137.801, 116.802, -678.519, 702.677, 146.22, -71.02, -1236.34, 1247.33
 -144.551, -104.485, -502.87, 533.793, 146.471, 89.4506, -278.282, 327.298
 -39.2198, -95.1947, -1129.53, 1134.49, -18.1634, -71.9404, -51.5943, 92.0475
 -104.875, -162.636, 382.58, 428.902, 102.05, 126.183, 877.897, 893.281
 -108.738, -148.481, -122.734, 222.299, 115.133, 124.901, -354.105, 393.336
 109.188, -87.9787, 279.409, 314.682, -79.5998, 84.9971, -42.6186, 124.879
 -75.3522, -154.107, -324.208, 368.262, 45.7163, 163.146, -624.538, 647.328
 -170.227, -21.359, -865.574, 882.609, 35.5962, -21.4744, 15.1627, 44.9309
 77.1738, -105.168, 5.19499, 132.094, -77.8731, 84.339, 243.801, 271.347
 -1.87676, -141.085, 137.952, 197.884, -25.0519, 100.653, 950.137, 956.06
 -6.8139, -164.16, 10.8096, 168.616, -42.8385, 143.843, -91.1942, 177.036
