## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 20.0861, -50.8315, 265.291, 271.137, -16.9523, 37.9946, -48.884, 64.2955
 -39.6913, 10.8728, 92.33, 101.364, 26.0685, -30.3505, 15.4209, 43.5229
 22.3621, -52.293, -294.75, 300.39, -21.5586, 31.9632, -24.8553, 46.1137
 4.26945, 50.3359, 152.893, 161.413, 1.52525, -34.7342, 313.968, 315.993
 11.7017, -49.845, 733.77, 735.598, -3.52236, 32.9899, -16.8258, 38.29
 47.1115, -36.0143, -116.791, 131.33, -23.2519, 19.4681, 6.15815, 31.3497
 56.5947, 23.9827, 33.6664, 70.2007, -47.7356, -20.7619, -151.858, 160.82
 -40.3505, 28.2294, 1112.83, 1113.96, 26.4066, -34.5419, -452.86, 455.035
 14.774, 83.6571, -347.661, 358.275, -0.0461874, -28.2286, 1.79139, 28.7678
 -59.2028, -25.5386, -132.009, 147.429, 40.8005, 19.444, -33.7667, 56.9851
 -63.2028, -14.8419, 242.029, 250.783, 43.0915, 10.6425, -21.9027, 50.3608
 57.8588, 10.2472, -233.31, 240.826, -34.8709, -5.91018, -75.4186, 83.7251
 42.6783, -10.0361, -98.7703, 108.575, -30.7465, -13.4296, -55.0713, 64.7501
 28.0287, 50.0235, -16.6282, 61.8749, -18.2931, -44.4851, -486.541, 489.009
 -49.3027, 63.2684, 519.152, 525.788, 34.0059, -43.3314, 309.555, 314.794
 46.102, 64.6442, -109.739, 137.093, -51.2705, -44.2155, -25.6838, 73.3311
 25.4213, 50.2319, -106.468, 120.747, -8.45204, -38.9818, 67.5007, 79.2073
 -12.8858, -56.8472, -65.789, 88.293, 11.4954, 24.8648, 20.2487, 34.3367
 27.7368, 39.9955, -48.2005, 68.6191, -24.3169, -39.4731, 43.9652, 64.4942
 43.5712, -60.5355, 162.207, 178.901, -11.3332, 33.741, -64.6255, 74.0572
 -33.0544, 36.6777, -2890.8, 2891.26, 33.7091, -35.5671, -177.133, 184.134
 -55.7297, -45.6217, -92.6299, 117.905, 15.13, 41.557, 419.314, 421.739
 -84.1556, -13.3034, 90.1385, 125.144, 52.4364, -6.85068, 78.801, 96.4934
 43.1343, 47.5379, -85.9146, 108.352, -21.4642, -43.5746, -23.3779, 55.8715
 -54.5712, -0.442255, 1589.08, 1590.08, 33.4939, 7.0467, 12.3338, 38.1854
 -27.1341, -64.6699, 499.339, 504.539, -10.8559, 57.3043, 394.326, 398.779
 67.7116, -28.7598, 1077.53, 1080.14, -55.8948, 18.1187, -886.553, 888.727
 -50.7922, -6.39211, -833.994, 835.645, 38.3973, -13.7734, -282.94, 285.942
 -42.335, 26.5223, 100.973, 112.796, 23.3675, -22.0618, -21.9774, 39.1806
 17.9343, 46.1236, 244.565, 249.646, -24.9219, -37.8286, 33.0872, 56.9258
 17.7215, 38.6503, -9.94562, 44.8329, -28.4291, -27.7479, 27.8858, 48.7773
 -56.1802, -35.2179, 353.153, 359.425, 43.8969, 26.2038, 171.769, 179.616
 -55.7366, -8.75498, -2738.93, 2739.53, 51.3812, -13.2532, -741.309, 743.338
 -53.8881, -8.86703, 4.07107, 57.6421, 29.2905, 26.3302, -92.5019, 101.661
 58.1597, -58.0997, 751.371, 756.153, -30.5559, 47.251, 1440.18, 1441.29
 -64.3679, -83.2796, -2082.61, 2085.29, 67.7572, 41.0234, -148.96, 169.645
 -31.1852, 57.8025, -1377.49, 1379.09, 36.685, -50.046, -385.106, 390.217
 -14.2745, 70.9382, -162.714, 178.77, 6.76139, -48.5943, -123.806, 133.312
 -17.5979, -49.4601, -23.0325, 57.7652, 20.2237, 30.0525, -9.47145, 37.7151
 -67.2635, 77.7228, -16.6742, 104.899, 41.3868, -70.9289, -70.3565, 110.08
 14.6529, 52.1881, 44.6603, 71.1882, -14.0904, -40.4232, 124.024, 131.553
 -47.6296, -50.037, 136.074, 152.819, 44.7604, 34.6866, 418.425, 422.445
 9.32815, 108.388, 7.54239, 111.136, 20.064, -79.1528, -842.338, 846.555
 56.4021, 6.04866, -76.1664, 95.4922, -45.6674, -5.31814, 5.92069, 46.9259
 57.1022, -45.298, 33.8602, 80.8868, -33.6176, 11.7054, 8.87742, 36.8299
 -34.6994, 40.3674, 129.615, 140.433, 0.31128, -32.7983, -85.7759, 92.3825
 9.93234, 62.2259, -70.5731, 95.151, -5.46002, -46.2047, 191.467, 197.249
 22.8975, -61.3691, 16.0264, 69.7404, -28.9095, 41.2891, 104.22, 116.22
 50.1022, -70.57, 119.167, 147.804, -24.2629, 51.258, 274.372, 280.406
 28.5626, -70.6588, -176.125, 192.456, -9.42019, 32.3329, 45.4383, 57.3408
 117.096, 24.9314, 374.966, 393.687, -93.0325, -8.98824, -3.17406, 94.0066
 66.4511, -27.1843, -812.328, 815.578, -44.7481, 24.1141, -175.991, 183.505
 46.1081, -7.62186, 321.965, 325.597, -20.4109, 16.6838, -134.126, 136.784
 -34.7316, 47.8891, -363.51, 368.76, 45.2649, -35.5588, -22.6969, 62.605
 -72.7057, -13.7428, -1114.99, 1117.64, 60.4621, 32.9129, -279.394, 288.206
 -48.8539, 35.5362, -1107.05, 1108.77, 22.7828, -15.3536, -151.223, 153.817
 -34.6236, 75.0574, -61.4622, 104.608, 29.3943, -66.107, -9.98596, 74.6282
 12.5075, 61.2775, 278.161, 285.514, -10.5403, -54.6022, 50.1203, 76.133
 23.0464, 43.077, 51.119, 71.424, -26.4564, -21.402, -155.624, 159.524
 26.1017, 60.0897, -131.457, 148.604, -17.5368, -58.5391, -68.4702, 92.3233
 18.4342, 59.5898, -23.0655, 67.5756, -11.1045, -58.7744, -37.9126, 71.9073
 64.4789, 22.3463, 511.17, 515.774, -58.6659, -3.12147, 2439.47, 2440.24
 40.7128, 30.6283, 87.1214, 101.023, -23.8148, -42.2134, 82.5435, 96.2852
 -1.15002, -85.4235, -913.706, 917.742, 33.1474, 51.4795, -82.434, 103.29
 -51.7632, 16.6138, -616.749, 619.229, 49.5551, -2.46168, -4.76999, 50.369
 26.5377, 56.7864, -498.794, 502.879, -37.5862, -24.5552, -474.314, 476.556
 1.73021, 72.6468, 372.515, 380.055, 0.37555, -64.65, 158.454, 171.42
 -60.2133, 28.1357, -217.725, 227.732, 32.6228, -32.3337, -1411.33, 1412.11
 -21.2912, 75.213, 730.799, 735.356, 19.9339, -69.7172, 419.722, 426.581
 -67.1344, 66.465, 105.782, 143.022, 51.067, -39.9273, 515.649, 519.845
 -14.9433, -60.1844, -36.4711, 72.1733, 25.0592, 43.8223, -95.7141, 108.316
 -47.5872, -42.2366, 1694.16, 1695.36, 8.69532, 29.9572, 16.5418, 36.1764
 -27.2551, -63.1232, 60.2393, 93.0555, 11.6771, 63.4169, 175.149, 187.778
 -56.2571, -89.0622, 108.742, 152.074, 28.1013, 32.1948, 16.994, 46.8195
 56.896, -4.08912, -199.136, 207.466, -23.7158, 13.5114, -8.35073, 28.892
 -39.1899, -54.5526, 474.881, 479.826, 24.1435, 58.2037, 250.55, 258.926
 -20.7948, 73.9164, 5.61641, 78.8399, -3.92244, -50.2485, 19.8283, 54.7317
 46.6013, -42.3603, 1583.49, 1584.77, -31.0593, 40.2204, 314.58, 318.88
 -28.8795, 30.0602, -5.33095, 42.6652, 21.3082, -13.1133, 731.096, 731.574
 48.3184, 30.0151, -123.25, 136.659, -46.2541, -0.255414, 21.9748, 52.224
 -59.293, 48.2297, 21.458, 80.2438, 54.253, -33.9629, -43.4739, 77.8867
 -39.4303, 48.3267, -1530.01, 1531.33, 26.425, -51.4297, 45.8268, 73.8177
 -37.0106, -57.5235, -25.0078, 73.211, 43.2093, 34.4345, 262.1, 268.094
 7.38301, -48.7982, 5.30046, 50.1497, 19.2098, 40.618, -6.44467, 46.2497
 -25.3436, -7.76697, -22.0528, 35.1925, 24.6207, 4.02957, -83.4558, 87.2747
 -48.5748, 34.5105, 114.518, 129.21, 35.3593, -34.0791, -33.7201, 59.7094
 -1.0002, -61.0067, -19.7451, 64.4754, -17.8658, 53.4836, -159.025, 168.964
 -106.657, -19.7447, -342.575, 359.95, 104.455, 23.3456, -15.2036, 108.824
 75.8776, -32.7138, -433.647, 441.936, -55.5955, 37.7227, -12.3341, 71.0587
 63.0423, 13.158, 2777.92, 2778.74, -42.1927, 9.84386, -12.009, 45.9484
 0.716754, 53.9001, 113.377, 125.769, -9.2862, -43.859, -145.414, 152.713
 24.2463, 63.4889, 95.9315, 118.181, -6.92679, -53.7109, -533.054, 535.952
 52.0841, 30.4592, -52.729, 81.1887, -47.5148, -32.1458, -89.0379, 107.115
